dsd_name,fit_wted,
Nawagattegama,-3.29608363,
Negombo,3.852867914,
Neluwa,-2.112090274,
Nikaweratiya,-1.395336399,
Ninthavur,1.233131933,
Nivithigala,-1.177189914,
Niyagama,-0.996900175,
Nochchiyagama,-2.700410717,
Nuwara Eliya,-0.046370185,
Nuwaragam Palatha Central,-1.76707302,
Nuwaragam Palatha East,2.664268207,
Oddusuddan,-3.430791512,
Okewela,-0.403579014,
Opanayaka,-1.219646498,
Pachchilaipalli,-3.97818658,
Padavi Sri Pura,-2.893203683,
Padaviya,-2.379288134,
Padiyathalawa,-4.723030191,
Padukka,2.291678008,
Panduwasnuwara,-1.25201967,
Katupotha,-0.780451417,
Palagala,-2.307730423,
Palindanuwara,-1.734011475,
Pallama,-1.618566943,
Pallepola,-0.983748606,
Palugaswewa,-2.849578022,
Panadura,5.467853374,
Pannala,0.170021126,
Panwila,-1.053703966,
Pasbage Korale,0.216051345,
Pasgoda,-1.068818886,
Passara,-1.066109183,
Pathadumbara,2.174734857,
Pathahewaheta,0.674768648,
Pelmadulla,0.403034649,
Pitabeddara,-1.322785295,
Polgahawela,1.073893273,
Polpithigama,-2.191244735,
Poojapitiya,1.346855233,
Poonakary,-4.395293073,
Porativu Pattu,-4.458757021,
Pottuvil,-1.378648865,
Puthukkudiyiruppu,-2.788388835,
Puttalam,0.500435689,
Rajanganaya,-1.146147063,
Rambewa,-2.372143721,
Rambukkana,0.688758001,
Rasnayakapura,-2.674236798,
Rathmalana,7.022117625,
Rathnapura,0.465720481,
Rattota,-0.281357814,
Rideegama,-0.722842653,
Rideemaliyadda,-3.056325331,
Ruwanwella,0.025250244,
Sainthamarathu,3.348766862,
Sammanthurai,1.19486422,
Seethawake,2.178113608,
Seruvila,-2.866151239,
Sewanagala,-1.958262211,
Siyambalanduwa,-5.065766511,
Sooriyawewa,-1.842099664,
Soranathota,-1.266935732,
Sri Jayawardanapura Kotte,7.922277423,
Tangalle,0.077354196,
Thalawa,-1.37352362,
Thamankaduwa,-1.14992019,
Thambalagamuwa,-1.955785576,
Thambuttegama,-0.904029546,
Thanamalvila,-4.594317697,
Thawalama,-2.702012875,
Thenmarachchi (Chavakachcheri),-1.390237264,
Thihagoda,0.795332052,
Thimbirigasyaya,7.49967887,
Thirappane,-3.189615816,
Thirukkovil,-1.568409575,
Thumpane,0.411630863,
Tissamaharama,-1.382893501,
Trincomalee Town and Gravets,2.278873524,
Thunukkai,-3.178824094,
Udadumbara,-2.955758847,
Udapalatha,1.679823202,
Udubaddawa,-0.214138188,
Udunuwara,2.507589223,
Uhana,-2.356975683,
Ukuwela,1.284878968,
Uva Paranagama,0.253276466,
Vadamarachchi East,-2.333266168,
Vadamarachchi North (Pointpedro),0.845910339,
Valikamam North,0.145253765,
Valikamam South (Uduvil),1.009462683,
Valikamam South -West (Sandilipay),0.670485662,
Valikamam West (Chankanai),0.184888958,
Vanathavilluwa,-3.705491662,
Vavuniya,0.074013824,
Vavuniya North,-5.827710669,
Vavuniya South,-2.975292828,
Vengalacheddikulam,-3.319373417,
Verugal (Eachchilampattu),-3.278229236,
Walallawita,-1.111235966,
Walapane,-0.811686256,
Walasmulla,-0.913587303,
Warakapola,0.49657381,
Wariyapola,-0.838544593,
Wattala,5.058112902,
Weeraketiya,-1.273079911,
Weerambugedara,0.481274672,
Weligama,2.282144579,
Weligepola,-2.681432785,
Welikanda,-3.469015526,
Welimada,0.746482026,
Welioya,-4.81953875,
Welipitiya,0.977284103,
Welivitiya-Divithura,-0.111661845,
Wellawaya,-2.630679257,
Wennappuwa,2.346009181,
Wilgamuwa,-2.497999186,
Yakkalamulla,-1.173170597,
Yatawatta,-0.875731669,
Yatinuwara,2.52725782,
Yatiyanthota,-0.750790681,
