,code_7,ground_truth
0,8124120,0.06414106060438772
1,8124015,0.15868026189398374
2,8124020,0.0465317816961279
3,8124025,0.0748640293250599
4,8124030,0.08903015313952589
5,8124045,0.13575868655529916
6,8124035,0.1351684313963631
7,8124065,0.269156352474854
8,8124060,0.20757306422585595
9,8124055,0.15405659648231773
10,8124095,0.34126585772487883
11,8124210,0.26384405604442923
12,8124080,0.1031962769539919
13,8124070,0.30004637245917565
14,8124085,0.09886773912179395
15,8124135,0.257449625155955
16,8124090,0.18573362334522087
17,8124125,0.08843989798058981
18,8124115,0.21839440880635083
19,8124235,0.1168705214693445
20,8124050,0.10024500115931148
21,8124110,0.07692992238133618
22,8124005,0.11460787669342284
23,8124010,0.12779024190966204
24,8124230,0.16409093418423115
25,8124100,0.11470625255324551
26,8124105,0.18553687162557553
27,8124140,0.13625056585441256
28,8124200,0.2129837365161034
29,8124195,0.18347097856929923
30,8124190,0.24062735312627662
31,8124185,0.13320091419990945
32,8124180,0.07663479480186815
33,8124175,0.15995914807167858
34,8124145,0.09483432886906405
35,8124165,0.20117863333738173
36,8124150,0.17363339258703117
37,8124155,0.2518422011460622
38,8124220,0.19094754391582294
39,8124130,0.17156749953075487
40,8124245,0.07299488798842897
41,8124250,0.12356007993728677
42,8124275,0.13851321063033423
43,8124260,0.14441576221969504
44,8124280,0.16979673405394663
45,8124255,0.21731227434830133
46,8124265,0.1270032350310806
47,8124170,0.09089929447615683
48,8124160,0.19478420244890748
49,8124215,0.1273967384703713
50,8124285,0.11972342140420222
51,8124270,0.17786355455940644
52,8124225,0.09876936326197128
53,8124205,0.1516955758465734
54,8124240,0.19793222996323326
55,8124040,0.17156749953075487
56,8124075,0.16566494794139405
57,2121215,0.11616290499778348
58,2121210,0.11616290499778348
59,2121200,0.28551086097565676
60,2121195,0.19146618352832334
61,2121190,0.2005836208391959
62,2121185,0.19399880500356573
63,2121180,0.13980070543337897
64,2121205,0.23755989437773453
65,2121220,0.1516196056511767
66,2121170,0.28044561802517204
67,2121175,0.2866927509974366
68,2121165,0.17525740608677218
69,2121140,0.3224871345141954
70,2121160,0.13574851107299116
71,2121145,0.23907946726287996
72,2121155,0.21577934969065013
73,2121125,0.23772873580941736
74,2121150,0.20362276660948675
75,2121120,0.13574851107299116
76,2121135,0.24363818591831624
77,2121040,0.1333847310294316
78,2121060,0.20007709654414743
79,2121070,0.2667694620588632
80,2121110,0.14165796118189003
81,2121055,0.168672590251142
82,2121095,0.06010754967908564
83,2121005,0.01823487462174508
84,2121050,0.018066033190062256
85,2121010,0.033430603473199316
86,2121045,0.054704623865235245
87,2121080,0.1558406414432473
88,2121035,0.19214154925505467
89,2121030,0.26828903494400863
90,2121015,0.2877057995875335
91,2121025,0.36706127247846115
92,2121020,0.22962434708864177
93,2121235,0.1046816876433514
94,2121075,0.24026135728465972
95,2121065,0.21071410674016539
96,2121090,0.22894898136191047
97,2121085,0.12494265944529037
98,2121230,0.2169612397124299
99,2121225,0.19062197636990924
100,2121100,0.18606325771447296
101,2121115,0.2005836208391959
102,2121130,0.13794344968486788
103,2121105,0.11329260065917546
104,2121240,0.10012296898791512
105,2139335,0.050083404715747716
106,2139500,0.06650827284612958
107,2139520,0.04392407916685452
108,2139525,0.044919525720211
109,2139475,0.029054596276092155
110,2139485,0.050083404715747716
111,2139465,0.034467336909968
112,2139460,0.05250980568955413
113,2139380,0.06047337811640594
114,2139555,0.04031558541093729
115,2139425,0.05431405256751275
116,2139440,0.07478292232090529
117,2139390,0.05033226635408684
118,2139265,0.0436752175285154
119,2139275,0.04591497227356747
120,2139295,0.05325639060457149
121,2139290,0.043115278842252386
122,2139285,0.04485731031062622
123,2139120,0.0498345430774086
124,2139175,0.054251837157927967
125,2139110,0.04174653983138723
126,2139180,0.03857355394256346
127,2139260,0.04504395653938056
128,2139210,0.03484062936747667
129,2139195,0.04566611063522835
130,2139255,0.053567467652495385
131,2139320,0.07403633740588793
132,2139375,0.051763220774536774
133,2139370,0.015056129119516705
134,2139105,0.050207835534917276
135,2139240,0.039320138857580816
136,2139245,0.03627158378792661
137,2139235,0.04193318606014157
138,2139205,0.037702538208376546
139,2139200,0.033845182814120196
140,2139455,0.09736711600018035
141,2139470,0.08069338623145937
142,2139450,0.06420630269149273
143,2139585,0.03820026148505478
144,2139480,0.03807583066588522
145,2139145,0.10732158153374512
146,2139420,0.06949461250619901
147,2139410,0.048092511609034765
148,2139215,0.04224426310806547
149,2139075,0.048030296199449984
150,2139080,0.0495234660294847
151,2139045,0.05282088273747803
152,2139085,0.03521392182498535
153,2139040,0.06072223975474506
154,2139035,0.06756593480907083
155,2139090,0.037391461160452645
156,2139010,0.05524728371128444
157,2139030,0.052074297822460675
158,2139005,0.03944456967675038
159,2139015,0.043053063432667606
160,2139025,0.05655380731256482
161,2139020,0.04044001623010685
162,2139115,0.07104999774581851
163,2139125,0.06240205581353411
164,2139135,0.042866417203913265
165,2139165,0.050083404715747716
166,2139160,0.05580722239754746
167,2139130,0.068934673819936
168,2139140,0.06177990171768632
169,2139150,0.07397412199630315
170,2139100,0.0495234660294847
171,2139270,0.040937739506785094
172,2139170,0.046412695550245714
173,2139360,0.02762364185564222
174,2139365,0.04585275686398269
175,2139330,0.02731256480771832
176,2139325,0.03670709165502007
177,2139315,0.12617285063793338
178,2139385,0.0698056895541229
179,2139310,0.05605608403588658
180,2139305,0.05250980568955413
181,2139400,0.0904612055362698
182,2139280,0.0439862945764393
183,2139300,0.053691898471664945
184,2139515,0.1024065641765475
185,2139615,0.06601054956945134
