gnd_id,urbanity
5221005,Urban
5236080,Urban
5221085,Urban
5236115,Urban
5224050,Urban
5224085,Urban
5236135,Urban
5215055,Urban
5221040,Urban
5224105,Urban
5225015,Urban
5215020,Urban
5225065,Urban
5215025,Urban
5224125,Urban
5225030,Urban
5224145,Urban
5236065,Urban
5215045,Urban
5215040,Urban
5224100,Urban
5236070,Urban
5224060,Urban
5225010,Urban
5236045,Urban
5236095,Urban
5224135,Urban
5224040,Urban
5215035,Urban
5236125,Urban
5221080,Urban
5224095,Urban
5224110,Urban
5221060,Urban
5236140,Urban
5224015,Urban
5221145,Urban
5224120,Urban
5224030,Urban
5224020,Urban
5221070,Urban
5225060,Urban
5224045,Urban
5221110,Urban
5225025,Urban
5221125,Urban
5221095,Urban
5221030,Urban
5225085,Urban
5224075,Urban
5215010,Urban
5236110,Urban
5225005,Urban
5225055,Urban
5221075,Urban
5236105,Urban
5221010,Urban
5224005,Urban
5225075,Urban
5221035,Urban
5215015,Urban
5215050,Urban
5221055,Urban
5221020,Urban
5221135,Urban
5236040,Urban
5225050,Urban
5221105,Urban
5236100,Urban
5221090,Urban
5225070,Urban
5224115,Urban
5224090,Urban
5221130,Urban
5221015,Urban
5225080,Urban
5236060,Urban
5236035,Urban
5236130,Urban
5225035,Urban
5225020,Urban
5221120,Urban
5224070,Urban
5225040,Urban
5224130,Urban
5224065,Urban
5224010,Urban
5221050,Urban
5236055,Urban
5236085,Urban
5236090,Urban
5224140,Urban
5224025,Urban
5224080,Urban
5221140,Urban
5236025,Urban
5221100,Urban
5221045,Urban
5215030,Urban
5224055,Urban
5221115,Urban
5236075,Urban
5221025,Urban
5225045,Urban
5224035,Urban
7118140,Rural
7118040,Rural
7160015,Rural
7130110,Rural
7145015,Rural
7160055,Rural
7157020,Rural
7127020,Rural
7106025,Rural
7103035,Rural
7109180,Rural
7106060,Rural
7118105,Rural
7151050,Rural
7133020,Rural
7106070,Rural
7142085,Rural
7160155,Rural
7127205,Rural
7130050,Rural
7127090,Rural
7151015,Rural
7154100,Rural
7148180,Rural
7121190,Rural
7121195,Rural
7106015,Rural
7157050,Rural
7124065,Rural
7115045,Rural
7127035,Rural
7154125,Rural
7127050,Rural
7163060,Rural
7154205,Rural
7148045,Rural
7130035,Rural
7124035,Rural
7163075,Rural
7121020,Rural
7148020,Rural
7157045,Rural
7139020,Rural
7160105,Rural
7151065,Rural
7154085,Rural
7130105,Rural
7142050,Rural
7157040,Rural
7112010,Rural
7106085,Rural
7148110,Rural
7124055,Rural
7148140,Rural
7160090,Rural
7109185,Rural
7151200,Rural
7139105,Rural
7127160,Rural
7166130,Rural
7118010,Rural
7124015,Rural
7139025,Rural
7121185,Rural
7154190,Rural
7139055,Rural
7118110,Rural
7163015,Rural
7154040,Rural
7118135,Rural
7115060,Rural
7127080,Rural
7127075,Rural
7124115,Rural
7154130,Rural
7106010,Rural
7130060,Rural
7109070,Rural
7151190,Rural
7115100,Rural
7130065,Rural
7133115,Rural
7148070,Rural
7124170,Rural
7103045,Rural
7166150,Rural
7130010,Rural
7145060,Rural
7163030,Rural
7127105,Rural
7112070,Rural
7121140,Rural
7142055,Rural
7136090,Rural
7109035,Rural
7139050,Rural
7109125,Rural
7160075,Rural
7166140,Rural
7115040,Rural
7127110,Rural
7142100,Rural
7133130,Rural
7127200,Rural
7157015,Rural
7148095,Rural
7151055,Rural
7154030,Rural
7121045,Rural
7139060,Rural
7154230,Rural
7136060,Rural
7136095,Rural
7160025,Rural
7160135,Rural
7106130,Rural
7118130,Rural
7130030,Rural
7124185,Rural
7109030,Rural
7130095,Rural
7163110,Rural
7103020,Rural
7124005,Rural
7106005,Rural
7142090,Rural
7148005,Rural
7154025,Rural
7124175,Rural
7160125,Rural
7151140,Rural
7112075,Rural
7136035,Rural
7109025,Rural
7148135,Rural
7121065,Rural
7115095,Rural
7163095,Rural
7109175,Rural
7166095,Rural
7115090,Rural
7166055,Rural
7133105,Rural
7163045,Rural
7154045,Rural
7118035,Rural
7151135,Rural
7124120,Rural
7163025,Rural
7112025,Rural
7136065,Rural
7163055,Rural
7163140,Rural
7145010,Rural
7148035,Rural
7109095,Rural
7154060,Rural
7118070,Rural
7145100,Rural
7160095,Rural
7163115,Rural
7109145,Rural
7118170,Rural
7154020,Rural
7133145,Rural
7103030,Rural
7109160,Rural
7160040,Rural
7124110,Rural
7166110,Rural
7166030,Rural
7139140,Rural
7112030,Rural
7148075,Rural
7148090,Rural
7118120,Rural
7148105,Rural
7124085,Rural
7157065,Rural
7151075,Rural
7136055,Rural
7118025,Rural
7121060,Rural
7160115,Rural
7127155,Rural
7124125,Rural
7124060,Rural
7145090,Rural
7163105,Rural
7130085,Rural
7166070,Rural
7112050,Rural
7103065,Rural
7118085,Rural
7109110,Rural
7106050,Rural
7139115,Rural
7130020,Rural
7106115,Rural
7118100,Rural
7124135,Rural
7118180,Rural
7139120,Rural
7124075,Rural
7148175,Rural
7163080,Rural
7118095,Rural
7160120,Rural
7109090,Rural
7154145,Rural
7163010,Rural
7163020,Rural
7115010,Rural
7145085,Rural
7109120,Rural
7148065,Rural
7109075,Rural
7121090,Rural
7154260,Rural
7151080,Rural
7103060,Rural
7151095,Rural
7115025,Rural
7103010,Rural
7154055,Rural
7106095,Rural
7145095,Rural
7106080,Rural
7115035,Rural
7127005,Rural
7163120,Rural
7103075,Rural
7160080,Rural
7151130,Rural
7166080,Rural
7166005,Rural
7124045,Rural
7139135,Rural
7166060,Rural
7133135,Rural
7154115,Rural
7154140,Rural
7109155,Rural
7154245,Rural
7163100,Rural
7148010,Rural
7151170,Rural
7145110,Rural
7142045,Rural
7133140,Rural
7133070,Rural
7115125,Rural
7109015,Rural
7121025,Rural
7148150,Rural
7118145,Rural
7127170,Rural
7139080,Rural
7133015,Rural
7121165,Rural
7136030,Rural
7133030,Rural
7154185,Rural
7142010,Rural
7154050,Rural
7154240,Rural
7106100,Rural
