,dsd_name,fit_wted
0,Addalachchenai,0.9063071770434706
1,Agalawatta,0.17639050051285002
2,Akkaraipattu,1.123606486718906
3,Akmeemana,1.413740484596424
4,Akurana,2.232243486203707
5,Akuressa,-0.3743825842948541
6,Alawwa,0.432242594728803
7,Alayadiwembu,-0.4177263618896648
8,Ambagamuwa,-0.530139979064216
9,Ambalangoda,2.065641174171714
10,Ambalantota,-0.6596508173261117
11,Ambanganga Korale,-1.5513718468653785
12,Ambanpola,-2.351774741956882
13,Ampara,-0.4532890726187437
14,Anamaduwa,-2.441197113600487
15,Angunukolapeles,-1.6388490049585833
16,Arachchikattuwa,-1.327879925511092
17,Aranayaka,0.017922461211431016
18,Athuraliya,0.2444757269609082
19,Attanagalla,2.628234766895454
20,Ayagama,-2.3376029608698308
21,Badalkumbura,-2.588294574812808
22,Baddegama,0.3146749471435295
23,Badulla,2.065546845642848
24,Balangoda,-0.5325882083563601
25,Balapitiya,2.2308695187814065
26,Bamunakotuwa,-0.5048309942306345
27,Bandaragama,3.420644539618563
28,Bandarawela,1.9500283701142718
29,Beliatta,0.36669704438217504
30,Bentota,1.0013249914034732
31,Beruwala,3.3277649300456345
32,Bibila,-2.8056683027437854
33,Bingiriya,-1.080541836830507
34,Biyagama,5.28324651952192
35,Bope-Poddala,2.7459416371246066
36,Bulathkohupitiya,-0.8844328638392267
37,Bulathsinhala,-0.5678078520317131
38,Buttala,-2.598976590325587
39,Chilaw,0.9983850141480531
40,Colombo,7.66248753629676
41,Damana,-3.173112099664254
42,Dambulla,-1.3859037289029628
43,Dankotuwa,1.3655617979551742
44,Dehiattakandiya,-2.1243555164821886
45,Dehiovita,0.11570990754070147
46,Dehiwala,7.244296057844407
47,Delft,-3.458742099800418
48,Delthota,0.05852907762631881
49,Deraniyagala,-1.641831006965142
50,Devinuwara,2.169537314517329
51,Dickwella,1.7332272043524548
52,Dimbulagala,-2.882360654202942
53,Divulapitiya,1.3646572832467172
54,Dodangoda,1.1364221796361582
55,Doluwa,0.41674429197143
56,Dompe,1.947389707411475
57,Eheliyagoda,0.5242966404908145
58,Ehetuwewa,-2.6388351683205484
59,Elahera,-3.0244964302100126
60,Elapatha,-0.10815467392598711
61,Ella,-0.4191023566326834
62,Elpitiya,-0.3857756004465593
63,Embilipitiya,-0.4965791208962596
64,Eragama,-2.08447786193277
65,Eravur Pattu,-1.8186532737784602
66,Eravur Town,0.8371998662044678
67,Galenbidunuwawe,-2.784194474718471
68,Galewela,-0.788642727376637
69,Galgamuwa,-1.7374727607192246
70,Galigamuwa,0.3864907845510204
71,Galle Four Gravets,4.274876900060845
72,Galnewa,-1.6388810236053093
73,Gampaha,4.225585311424543
74,Ganewatta,-1.4721878740484984
75,Ganga Ihala Korale,0.406668988198959
76,Giribawa,-2.020833261979478
77,Godakawela,-0.4108783946030105
78,Gomarankadawala,-4.583398808638142
79,Gonapeenuwala,0.7721712975287844
80,Habaraduwa,1.5923829367761464
81,Hakmana,0.320612104101018
82,Haldummulla,-2.164628195145284
83,Hali Ela,-0.03896574493201846
84,Hambantota,-1.1699674686079502
85,Hanguranketha,-0.5048819935491338
86,Haputhale,1.4147491048988037
87,Harispattuwa,2.7571739689927934
88,Hatharaliyadda,-0.27090620849819586
89,Hikkaduwa,2.203200639963969
90,Hingurakgoda,-0.9334351168820803
91,Homagama,5.0501045319531235
92,Horana,2.4319388799670607
93,Horowpothana,-4.4528627692156
94,Ibbagamuwa,-0.18263526700660015
95,Imaduwa,0.5508440011018485
96,Imbulpe,-1.3720303134975922
97,Ingiriya,1.0387156780407159
98,Ipalogama,-1.2679746833926149
99,Island South (Velanai),-2.087562614455797
100,Ja-Ela,4.89478890682369
101,Jaffna,3.1987214516237645
102,Kaduwela,6.282810870071297
103,Kahatagasdigiliya,-3.162310432381101
104,Kahawaththa,-0.9794587292845838
105,Kalawana,-2.8213613663531203
106,Kalmunai Muslim,2.8393383773494283
107,Kalmunai Tamil,1.9474395658210155
108,Kalpitiya,-0.5149396663225034
109,Kaluthara,3.4457244221271766
110,Kamburupitiya,0.5898487043358813
111,Kandaketiya,-2.6878968582071376
112,Kandavalai,-3.9829308069833056
113,Kandy Four Gravets & Gangawata Korale,3.7437533766887587
114,Kanthale,-1.293249460157751
115,Karachchi,-2.2077450966104784
116,Karainagar,-1.1692539049561004
117,Karaitheevu,1.1078942689626678
118,Karandeniya,0.2950030768321276
119,Karaveddy (Vadamaradchi South-West),0.21921544591492925
120,Karuwalagaswewa,-3.641359924896698
121,Katana,3.435231646171045
122,Katharagama,-3.226792492360107
123,Kattankudy,4.00608457958172
124,Katuwana,-1.062446363341006
125,Kayts (Island North),-1.17696135212122
126,Kebithigollewa,-4.270616892361842
127,Kegalle,1.2953907606681065
128,Kekirawa,-1.4894172930449703
129,Kelaniya,6.742494810252042
130,Kesbewa,6.556487785174375
131,Kinniya,0.398439174414156
132,Kiriella,-0.8377772223424891
133,Kirinda Puhulwella,0.25051070668969816
134,Kobeigane,-1.5127457804744446
135,Kolonna,-2.158261600968863
136,Kolonnawa,7.001115951005014
137,Kopay (Valikamam East),0.11620302594966457
138,Koralai Pattu (Valach.),-0.4475395993775266
139,Koralai Pattu Central,1.4605592317985934
140,Koralai Pattu North,-6.159033850575327
141,Koralai Pattu South,-3.530013317240211
142,Korale Pattu  West,1.6608580593180646
143,Kotapola,-1.1274271458254257
144,Kotavehera,-3.179118755459583
145,Kothmale,-0.5783164605498453
146,Kuchchaveli,-2.7592553624487826
147,Kuliyapitiya East,0.023401961096981228
