0.74,0.9,0.74,0.61,0.74,0.52,0.74,0.49,0.74,0.48,0.74,0.48,0.74,0.47,0.74,0.47,0.74,0.47,0.74,0.47
0.78,0.91,0.78,0.65,0.78,0.55,0.78,0.52,0.78,0.52,0.78,0.52,0.78,0.52,0.78,0.52,0.78,0.52,0.78,0.52
0.75,0.96,0.75,0.66,0.75,0.55,0.75,0.52,0.75,0.51,0.75,0.51,0.75,0.51,0.75,0.51,0.75,0.51,0.75,0.51
0.76,0.96,0.76,0.67,0.76,0.57,0.76,0.54,0.76,0.53,0.76,0.52,0.76,0.52,0.76,0.52,0.76,0.52,0.76,0.52
0.71,0.95,0.71,0.64,0.71,0.55,0.71,0.52,0.71,0.51,0.71,0.51,0.71,0.51,0.71,0.51,0.71,0.51,0.71,0.51
0.75,0.95,0.75,0.68,0.75,0.56,0.75,0.53,0.75,0.52,0.75,0.52,0.75,0.52,0.75,0.52,0.75,0.52,0.75,0.52
0.68,0.96,0.68,0.63,0.68,0.53,0.68,0.49,0.68,0.47,0.68,0.47,0.68,0.47,0.68,0.47,0.68,0.47,0.68,0.47
0.72,0.96,0.72,0.66,0.72,0.56,0.72,0.53,0.72,0.52,0.72,0.52,0.72,0.52,0.72,0.52,0.72,0.52,0.72,0.52
0.78,0.94,0.78,0.63,0.78,0.54,0.78,0.51,0.78,0.51,0.78,0.51,0.78,0.51,0.78,0.5,0.78,0.5,0.78,0.5
0.77,0.98,0.77,0.71,0.77,0.6,0.77,0.55,0.77,0.53,0.77,0.53,0.77,0.53,0.77,0.53,0.77,0.53,0.77,0.53
