,call_count,avg_call_duration,nighttime_call_count,avg_nighttime_call_duration,incoming_call_count,avg_incoming_call_duration,radius_of_gyration,unique_tower_count,spatial_entropy,avg_call_count_per_contact,avg_call_duration_per_contact,contact_count,social_entropy,travel_time_major_cities,population_count_worldpop,population_count_ciesin,population_density,aridity_index,evapotranspiration,nighttime_lights,elevation,vegetation,distance_roadways_motorway,distance_roadways_trunk,distance_roadways_primary,distance_roadways_secondary,distance_roadways_tertiary,distance_waterways,urban_rural_fb,urban_rural_ciesin,global_human_settlement,protected_areas,land_cover_woodland,land_cover_grassland,land_cover_cropland,land_cover_wetland,land_cover_bareland,land_cover_urban,land_cover_water,pregnancies,births,precipitation,temperature,pc_1,radius_of_gyration_log,travel_time_major_cities_log,population_count_worldpop_log,population_count_ciesin_log,population_density_log,elevation_log,distance_roadways_trunk_log,distance_roadways_primary_log,distance_roadways_secondary_log,distance_roadways_tertiary_log,distance_waterways_log,urban_rural_fb_log,global_human_settlement_log,protected_areas_log,land_cover_grassland_log,land_cover_wetland_log,land_cover_bareland_log,land_cover_water_log,pregnancies_log,births_log,gnd_id,pred_values
569,1872.73538095937,109.592739337498,194.15779407681,146.980297688736,882.382603887912,109.563970079927,29.2231842315734,41.2969314843398,0.420002042946754,11.0779802960816,1308.73527326083,129.718738928142,0.609289660124323,12.0595506938548,4209.61374282837,2936.42578107384,7916.28139258053,10567.7073056472,1862.14886026992,55.4138319217555,4.70149253731343,0.200471061172854,8211.16431201306,373.266460049509,373.266460049509,373.266460049509,0.0,195.581387634749,0.549579831932773,0.0,63.9797331492106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.8402837734161,52.2611246849629,46.2892320898807,10.201154780242,4.890467192718148,3.374962374771772,2.5695197200294357,8.345363698195747,7.985288892115808,8.976676853410085,1.7407279892156087,5.924968003760797,5.924968003760797,5.924968003760797,0.0,5.281076531994173,0.437983818010964,4.174075423572174,0.0,0.0,0.0,0.0,0.0,4.341729030936432,3.956252780813112,1203065,5.040246811497219
570,2048.45387820504,111.0791576396,204.059667634451,150.12951865113,964.472316806304,111.605519537438,28.3270360426654,44.6138725359468,0.409055329715098,11.4908876100375,1374.45485864918,142.069690533051,0.610542524923535,11.2924842564708,3100.69226455688,2951.12050896164,9142.39617592316,10670.4672610701,1852.80227932571,56.9061654702451,8.86363636363636,0.264818255456395,7507.29105554058,155.282515274742,155.282515274742,121.72826834298,0.0,0.0,0.897959183673469,0.0,89.195733388265,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.5480730699665,60.9040305393578,85.3588824299634,18.8067150715341,4.951525334735772,3.343816685801697,2.508988039560473,8.039703133321058,7.990279007706118,9.120677793757048,2.2888549001821437,5.051665364725524,5.051665364725524,4.80997271102548,0.0,0.0,0.6407791950426291,4.501982124267612,0.0,0.0,0.0,0.0,0.0,4.494775610351884,4.1092993554381385,1203070,6.620843109567958
571,2263.35975584716,112.591529903427,215.734809133335,153.587896399652,1064.56699561859,113.564487676784,26.8393642498479,49.2237194556164,0.397270419429841,11.9906099048802,1450.45307199331,157.348265825151,0.612129532805736,0.0,2539.05565643311,2056.95037430199,9312.08849802894,10734.0,1851.0,54.3953780195409,0.82051282051282,0.130232848227024,7453.56834891283,705.73970921522,396.293893552932,174.07672625725,0.0,312.287826743031,0.15606936416185,0.0,43.8703991572062,0.0,0.0,0.0,0.0,0.0,0.0,0.641791651849671,0.358208348150329,33.0254882760417,22.4615143180625,17.7804919760066,3.93194601402972,4.457813324911916,3.2898696251555815,0.0,7.839941271754058,7.629465802547374,9.13906867358037,0.5991182309116687,6.560662435753464,5.984676292838182,5.165224313594356,0.0,5.747122342249654,0.145025772050258,3.803778315807611,0.0,0.0,0.0,0.0,0.30616644015954275,3.497279635341989,3.111803369925388,1203075,4.980512911815599
572,2302.5772324028,112.867517812416,217.865367836708,154.219004537603,1082.83294889419,113.921973418547,26.567883849696,50.0649554677755,0.395119829376685,12.0818026055981,1464.32173944343,160.136403473575,0.612419140726642,10.0913055102475,2811.08496856689,2165.49718053201,10046.9482908312,10713.8173944407,1849.16522388779,57.0,7.51428571428571,0.155098915866473,7333.52567119371,270.280861163165,270.280861163165,0.0,0.0,0.0,0.785046728971963,0.0,77.1084012985229,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.9147908806063,29.8676190465293,14.2047930185387,3.13062959985511,5.285499172287314,3.2797031122527844,2.406161514023364,7.941681468891862,7.680866939786092,9.215024214721808,2.14174542501599,5.603154672256332,5.603154672256332,0.0,0.0,0.0,0.579444593584724,4.358097622104117,0.0,0.0,0.0,0.0,0.0,3.7822511854451,3.3967749185229876,1203080,6.549007972113903
573,2502.64810616095,114.467730780766,227.472594630208,159.425309349776,1171.8488426466,115.527462489265,24.0137347838732,54.5004573292732,0.379541538904408,12.5782686313758,1552.45986420828,175.87127951484,0.613065421411928,6.93979813866301,3190.13432502747,4690.6946007102,7181.37368264553,10767.5965677899,1847.12926119543,56.9055962322416,8.76923076923077,0.327864389543965,6887.57019901775,0.0,0.0,0.0,0.0,0.0,0.777777777777778,0.0,86.7508364590732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,165.744910003804,112.727531266398,122.321130692193,26.9032351585914,8.067217492267085,3.1786259493180555,2.0718878515936754,8.068131720355444,8.45354911829226,8.879245964445518,2.279237728997055,0.0,0.0,0.0,0.0,0.0,0.5753641449035621,4.474501394597674,0.0,0.0,0.0,0.0,0.0,5.110449919718451,4.724973679290322,1203085,7.180747972349361
574,2542.35151250102,114.554898243115,230.891529243582,158.077577630008,1194.51034840215,116.107628748292,24.9080621809455,55.208243025403,0.381971197044372,12.6393515889915,1549.11428725026,177.182979545506,0.614189793471681,10.7339076801482,6167.72176742554,3685.02522524743,9097.92516430636,10744.152892329,1847.87290357951,58.5895860944312,10.2708333333333,0.392052250925311,6917.94469689712,0.0,0.0,0.0,0.0,221.810481710352,0.842723004694836,0.0,91.9531413487026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104.078019541876,70.7862346006305,123.395160055071,27.1000003814697,6.851741666644319,3.2151915334317525,2.46248274275056,8.727246926462186,8.212303981735225,9.115801662585717,2.4222182679385877,0.0,0.0,0.0,0.0,5.40632155232513,0.6112443715130381,4.53209550970937,0.0,0.0,0.0,0.0,0.0,4.645140805793734,4.259664555251616,1203090,6.594715752223087
575,2580.79666443962,115.199082709596,220.14690415057,163.309602950376,1221.18593163076,115.3615997754,18.9478137159478,60.0407163241894,0.383736113819539,12.9520954823959,1652.7282013683,181.815250599461,0.608753534355367,8.0,4216.9678440094,7245.111328125,4243.08410644531,10907.0,1839.5,56.6762290652131,10.2857142857143,0.427958826682344,5209.88219551913,0.0,0.0,0.0,0.0,540.619865603658,0.805876180482686,0.0,76.7278848375593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,105.712987791856,71.8982223134224,124.5,27.1000003814697,7.58934956496255,2.9416885536825776,2.1972245773362196,8.347108737493633,8.88822023541718,8.353045667406361,2.42353770341171,0.0,0.0,0.0,0.0,6.294564400400386,0.5910458925573373,4.353214071210483,0.0,0.0,0.0,0.0,0.0,4.660727759422925,4.275251539990505,1203095,5.883966219455373
576,2374.43336440718,115.312995847772,212.472582354807,164.959017776496,1103.85328615743,114.748968526897,20.51119077204,53.7692881091192,0.379736317558942,12.4289567833671,1602.04018567635,171.36876167744,0.607323231645281,12.0191547734297,4144.47632980347,5234.61730079987,4865.07552133666,10840.1989335122,1843.77442648873,55.0,8.0,0.337878733873367,5557.5260090772,0.0,0.0,0.0,0.0,0.0,0.809649122807018,0.0,84.4982587028952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,168.486001116544,114.591821510113,123.980557660481,27.1285601306204,6.9117607136391,3.0209706285189233,2.5664217171178647,8.32977297768675,8.563240034366201,8.489837517898728,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.593132971682711,4.4484960096873145,0.0,0.0,0.0,0.0,0.0,5.126852666914091,4.741376436202699,1203100,6.313502894261144
577,2423.00138229265,117.158943775277,219.222420729803,161.826434773619,1135.72256113167,117.331999341324,24.0381851754406,53.261796226338,0.397401938710431,12.4434938954438,1654.3457012005,173.751904224429,0.611225104423237,0.0,2743.74776268005,1871.42162703212,6977.88234569322,10734.0,1851.0,53.7298415045668,6.6,0.218692201824141,7022.93308492114,604.764534369143,0.0,0.0,0.0,29.9883149800906,0.759197324414716,0.0,83.9144010543823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.760834179411,41.3250626324946,115.515842671049,25.5449672424044,6.667235428731297,3.1796436149471607,0.0,7.9174444599874665,7.534987859792942,8.850500760855539,2.028148247292285,6.406491353414798,0.0,0.0,0.0,3.433610197300758,0.5648576393470235,4.441643702659353,0.0,0.0,0.0,0.0,0.0,4.106945406721726,3.721469159313794,1203105,6.985028828911573
578,1907.5036661878,126.881647302098,171.116730687025,175.508524355759,883.222386079091,121.596607607539,21.0318897547065,44.5830062708401,0.460116538086792,11.5613883216216,2043.58833035002,156.694870313123,0.59934233186519,10.016864774454,2975.44333648682,2195.31208422747,6577.01885922977,10749.8963358727,1850.12895372337,48.963910201934,4.19354838709677,0.133219238792692,6770.12777028461,1230.34129109998,0.0,0.0,0.0,165.637390053375,0.470796460176991,0.0,55.7700572013855,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666666667,0.333333333333333,51.5757193759845,35.0780212568124,37.331434317197,8.24081860789182,4.394113549558873,3.0460398456254483,2.3994272600204583,7.998484355451655,7.694534907389744,8.79133686074893,1.6474171604993157,7.1158593347935115,0.0,0.0,0.0,5.1158201346443635,0.3858040637090071,4.039009024780956,0.0,0.0,0.0,0.0,0.28768207245178073,3.943051007012915,3.5575747593227742,1203110,6.718354979671283
