,call_count,radius_of_gyration_log,avg_call_duration,nighttime_call_count,avg_nighttime_call_duration,incoming_call_count,avg_incoming_call_duration,radius_of_gyration,unique_tower_count,spatial_entropy,avg_call_count_per_contact,avg_call_duration_per_contact,contact_count,social_entropy,pc_1,gnd_id,pred_values
340,3026.10570256352,2.970482199815998,121.084392704382,188.334975193211,180.857349024014,1410.91618537537,120.231248101999,19.5013208625361,95.4948151381003,0.41333836596292,13.5415063993147,1748.40800546509,216.759485640337,0.601954703302468,7.827779788659588,1121040,8.089004911427448
341,2952.35163147793,2.8871110677833323,117.494710184249,195.540882917466,175.304289971385,1381.01113243762,118.168751636079,17.9414031629499,90.8445297504799,0.399486742409924,14.3770947278514,1833.24415317746,204.218809980806,0.595108085810869,6.779737716356534,1121045,7.642056918464206
342,2929.5901634985,2.8887935942054015,117.575351657222,194.105434605809,175.312647174924,1370.38305190198,118.207891150654,17.9716154571849,90.2815672017636,0.400791563793283,14.3313871590884,1828.69977481031,202.881701829988,0.595210185959272,7.620788937789911,1121050,7.594493697297195
343,2886.49641694991,2.911706720965246,120.197145664843,187.841218587662,182.52015544732,1369.6465868497,122.199153125802,18.3881552509304,89.8497502002879,0.425915602353148,13.4897636596082,1861.82737529404,211.746073848625,0.606686518411982,6.134689005078771,1121055,8.039758272229163
344,2984.03350529818,2.9671487887600825,123.720468485609,197.764246627461,187.681118741081,1406.88890757342,124.635541762017,19.4364231694051,93.3987932939559,0.423062491416932,13.4501500460057,1875.57238160258,218.632561940141,0.604106991755528,8.52556061705547,1121060,8.49602600209011
345,3130.47199865768,3.0206628977348493,127.702577131859,208.49833037631,190.486610477207,1465.99861983417,126.898077996317,20.5048798183086,99.4715375704282,0.422270600563579,13.4224365237871,1897.67166235767,229.57035745496,0.602052427281988,8.419138638012331,1121065,9.040543935905973
346,3042.19754496615,3.060129883845867,129.966430701929,209.902803534039,196.215780106544,1423.52740788479,128.522821104189,21.3303274470778,94.9035667256659,0.427525469638443,13.5876465841726,1938.63872611567,221.121084040966,0.596621351532768,9.35816434928371,1121070,9.152635915198116
347,3034.55458106007,3.0851667448533675,129.427974034321,217.703658926842,199.382756775646,1423.49876897777,128.328701941538,21.8711134336441,92.1182736868984,0.415709390138194,13.6804988726083,1904.68358604783,217.272697002323,0.593787279374916,8.751831936467568,1121075,8.959679822373083
348,3044.66536348804,3.0861196745129305,129.065004561844,213.521822629807,198.267142485892,1425.93639810505,126.110111240003,21.8919649997827,92.1567228738229,0.433278834103934,13.8307609805246,1994.34032605087,218.38692832441,0.593405855356215,9.810592779977473,1121080,9.186581146589374
349,2987.85535816186,2.9515145566604857,121.818828556144,212.634140654977,181.601309585111,1394.86309824559,121.089157020743,19.1349127021734,89.8803731829324,0.433585176235119,13.8442986095721,1852.01890947401,210.810654251635,0.602463110218629,4.759631816673905,1121085,8.480065129106592
