,call_count,radius_of_gyration_log,avg_call_duration,nighttime_call_count,avg_nighttime_call_duration,incoming_call_count,avg_incoming_call_duration,radius_of_gyration,unique_tower_count,spatial_entropy,avg_call_count_per_contact,avg_call_duration_per_contact,contact_count,social_entropy,pc_1,gnd_id,pred_values
11189,1922.34557235421,3.370083596558199,108.646308469619,155.036717062635,151.688793387115,933.352771778258,109.829736460786,29.0809580241854,32.7969762419007,0.350599400302752,11.9916307393259,1458.0150610738,151.640028797696,0.629061236180139,-2.612252423940394,7124085,-2.3876230580621365
11190,2079.56775560576,3.4451259858793377,111.690643397732,167.571388117181,159.079730768389,987.272727193769,109.870979828685,31.3472325065534,36.4279537826815,0.358298574933079,11.9066641829829,1476.59200052785,159.979378112008,0.624911747886351,-4.657366488122523,7124090,-2.1504623798611404
11191,2595.71491869488,3.6580908220415225,121.684938122605,208.721655663776,183.343554632646,1164.28739170412,110.006378326505,38.7872204310647,48.3481467105801,0.383574315681737,11.627726147045,1537.57852546284,187.356758336715,0.611289327905915,-1.6626679405400164,7124095,-1.6731272251734262
11192,2398.58647359286,3.564483583584418,117.955466023503,188.995724911376,174.020065024714,1094.93851934617,110.11568612928,35.3212082418802,45.2354558869366,0.344072355937961,11.9022470258661,1570.38662781606,178.593838815376,0.604260526376582,0.6911025956556643,7124100,-1.70169658505811
11193,2150.75703102349,3.448608606589164,113.197667302413,167.360684256306,162.343245001315,1009.12873296608,110.126034972101,31.4565933483094,40.185850971296,0.31796633704921,12.1148020538204,1567.35996622872,166.240939402725,0.605076743026252,-1.5537387108007934,7124105,-1.8657573291268956
11194,1870.47225849831,3.2978020436893942,111.564277412742,156.429715807897,153.580454183583,915.987592118935,113.100806659583,27.0531119676307,33.2114394934623,0.33906751849817,11.8543840899922,1463.79576339216,147.261585570069,0.622248435516407,-3.108638291933188,7124110,-2.217663897659152
11195,1842.99978271416,3.2434060516638676,110.096719562418,160.196480441806,152.579209012857,921.464486522717,112.865875637751,25.6208392018471,31.1938561837836,0.330551504194524,12.0567829012879,1465.08095612267,144.93149793895,0.62978039822842,-1.900005708409577,7124115,-2.176764621879637
11196,1726.6485332793,3.255691420609217,114.121362876285,145.774903336081,155.595828336851,857.517190476368,116.69612029095,25.9375420866963,31.1671147217688,0.337967070735844,11.9585430200289,1531.11018758895,137.614993956482,0.618488731877737,-1.744830350090241,7124120,-2.332407203963412
11197,1515.31022704651,3.2808095347442134,121.461356660608,119.150606156434,160.820993259633,740.032049481491,123.646680640944,26.597295421749,31.221908185106,0.353189331322151,11.7425193045982,1644.67181476846,124.401852607627,0.597674327757286,-1.5031277306893136,7124125,-2.7213770664159993
11198,1716.36312309063,3.3236841892385405,115.095384662633,135.369144583029,150.448984307355,825.14697443107,117.002090565342,27.7624444755551,33.2687366021475,0.374355987479356,11.1770766356731,1403.27708190136,138.785739561064,0.610418826109093,-3.2458431167470656,7124130,-2.726081838781858
11199,1745.68030198029,3.3165378030867636,114.06604789481,139.607298446051,150.045535895165,838.460002589786,115.721468685542,27.5647505666872,33.3986573594251,0.374485377811737,11.1766281201623,1389.69240400878,139.978575871544,0.615443011947396,-3.649010534501105,7124135,-2.6217194936359354
11200,1848.58997290184,3.351757952170733,113.845544625967,146.662732280449,153.1585844147,881.806193755138,114.303058877455,28.5528841544323,35.124580319883,0.360214790070288,11.4141385131077,1434.6409806978,146.645372685671,0.612813453793401,-1.6363750646938902,7124140,-2.377100576141897
11201,2470.26968267669,3.5956403260623513,119.331631329537,195.253533211658,177.397516560101,1119.75849551766,110.112692788425,36.4390253767903,46.69602441825,0.351623368405124,11.8407667339414,1571.26207189926,182.166842338895,0.604024440515837,-1.607813957519345,7124145,-1.6546248000068147
11202,1695.17799119895,3.4204883164597644,116.519340761856,133.373418293464,163.617469292971,803.736224391196,114.530827135808,30.5843462148475,33.56492272488,0.395156835724524,10.9608098789112,1409.62591814341,135.824938433408,0.616025419014571,-1.3474089836223853,7124150,-2.285000291470459
11203,1574.74863525102,3.3056682488125055,116.78001866521,121.88066210538,154.834185542265,761.457160905893,117.387815911943,27.2667564797221,30.3555650529468,0.356125338302371,11.1295291687442,1443.42024160809,131.676116862842,0.612242122241412,-3.97942308682388,7124155,-2.992510342121521
11204,1460.29317175465,3.2606934208192055,115.589950909486,112.532892269662,150.593548541448,716.948325902832,117.535480233983,26.0676066980826,28.3046223917336,0.350714005445963,11.0189686761246,1408.68011990664,126.029629790437,0.615021691589625,-2.365019460533201,7124160,-3.2740242297936164
11205,1753.04504004721,3.3250845372699995,114.172325820792,139.110949752634,151.489550655105,841.380690771389,115.338332816018,27.8013487934599,33.4819566435641,0.365044222131083,11.2601402931466,1412.00803551783,141.059698337407,0.614225727924708,-3.2998851540978045,7124165,-2.609459708890158
11206,1744.32764667484,3.3163182518474343,114.074754781565,139.474171623151,150.046778800307,837.866008792828,115.731079360153,27.5586993558382,33.376233947417,0.374396529673526,11.1755119674024,1389.74410891493,139.912291951326,0.615434982651072,-2.3954279976189112,7124170,-2.6108556699846353
11207,1686.23111810433,3.3321502571024255,116.157129714537,130.842264866594,150.744756293777,810.334486637386,118.261686662752,27.998480955169,33.2071166997442,0.375494966638344,11.1513718177752,1413.52972713096,137.527093492983,0.605394862762846,-0.9083004224593224,7124175,-2.846017859636358
11208,1510.40809770907,3.2011878909056737,119.835785616013,114.244962545611,159.597569758414,743.671896679634,123.874282636435,24.5616894822196,27.8243986157606,0.383098338555098,12.0075302818594,1705.12318142191,121.020590352362,0.589892325182441,-2.915784787341833,7124180,-2.625286169847166
11209,1488.12183489285,3.3368871973664933,119.448475953021,113.605241431686,158.97424202013,728.642749891702,122.719460320821,28.1314227069211,32.214747611943,0.375548526307619,11.4921893264108,1583.31296343902,121.877299507933,0.594412896501619,-4.353782166102322,7124185,-2.536384228709716
11210,1639.65640772295,3.354509761198323,118.435770022474,121.759294206122,160.558859763062,792.076178417834,120.836677812389,28.6315644457299,33.92763590492,0.382252622951896,11.6023336550567,1563.07896972782,133.518767642477,0.59979440694869,-2.1496988793559018,7124190,-2.3351805646930845
11211,1475.85492990541,3.3751172099591047,126.612579765405,118.287734678318,174.37352439171,663.855816730558,122.22840198932,29.2277093590938,34.732376138562,0.358406620637389,10.3980567526218,1490.22980615398,125.989078209016,0.582833662519676,-2.3263886382570327,7127005,-2.4275328493650252
